 Title , Pay Range , Min Salary , Max Salary ,startdate,enddate,FY23 Hrs,"FY23
Std Labor Rate", FY22 Hrs ," FY22
Std Labor Rate ", Change 
Sci / Eng,20000-34999,20000,34999,2022-10-01,2023-09-30,0,0,1774,28.74,
Sci / Eng,35000-49999,35000,49999,2022-10-01,2023-09-30,1755,37.74067909,1774,39.62,-0.047433642
Sci / Eng,50000-64999,50000,64999,2022-10-01,2023-09-30,1755,49.43317797,1774,50.25,-0.016255165
Sci / Eng,65000-79999,65000,79999,2022-10-01,2023-09-30,1755,60.04220487,1774,61,-0.01570156
Sci / Eng,80000-94999,80000,94999,2022-10-01,2023-09-30,1755,71.44086904,1774,73.92,-0.033538027
Sci / Eng,95000-109999,95000,109999,2022-10-01,2023-09-30,1755,84.47507628,1774,86.33,-0.021486433
Professional,110000-124999,110000,124999,2022-10-01,2023-09-30,1843,82.21937378,1848,83.61,-0.016632295
Sci / Eng,110000-124999,110000,124999,2022-10-01,2023-09-30,1755,96.06589939,1774,111.28,-0.02182126
Sci / Eng,125000-139999,125000,139999,2022-10-01,2023-09-30,1755,108.8517302,1774,123.9,-0.031606259
Sci / Eng,140000-154999,140000,154999,2022-10-01,2023-09-30,1755,119.9839845,1774,138.16,-0.036296388
Sci / Eng,155000-169999,155000,169999,2022-10-01,2023-09-30,1755,133.145291,1764,150.2,-0.034316736
Sci / Eng,170000-184999,170000,184999,2022-10-01,2023-09-30,1755,145.0456262,1764,163.34,-0.032272782
Sci / Eng,185000-199999,185000,199999,2022-10-01,2023-09-30,1755,158.0685638,1764,172.87,-0.038602779
Sci / Eng,200000-214999,200000,214999,2022-10-01,2023-09-30,1755,166.1967375,1764,185.07,-0.036294841
Sci / Eng,215000-229999,215000,229999,2022-10-01,2023-09-30,1755,178.3529137,1764,198.16,-0.036957141
Sci / Eng,230000-244999,230000,244999,2022-10-01,2023-09-30,1755,190.8365729,1764,209.94,-0.032377833
Sci / Eng,245000-259999,245000,259999,2022-10-01,2023-09-30,1755,203.1425978,1764,221.3,-0.02756639
Sci / Eng,260000-274999,260000,274999,2022-10-01,2023-09-30,1755,215.1995578,1764,234.23,-0.031039313
Sci / Eng,275000-289999,275000,289999,2022-10-01,2023-09-30,1755,226.9596617,1764,,
