Labor Pool Desc,Job Title,Job Class Description,Job Family Description,Job Function Description,Job Category Desc
TECHNICIAN 95000 - 109999.99,Computing Systems Tec 5,Technician,Infrastructure,Computing Systems Tec,Information Technology
TECHNICIAN 95000 - 109999.99,Development and Fabrication Tec 5,Technician,S&E Support,Development and Fabrication Tec,S&E Support
SCI / ENG 155000 - 169999.99,Scientist 2,Research&Development,Science&Engineering,Scientist,Research&Development
TECHNICIAN 80000 - 94999.99,Computing Systems Tec 3,Technician,Infrastructure,Computing Systems Tec,Information Technology
,Contractor,,,,
,Contractor,,,,
SCI / ENG 170000 - 184999.99,Scientist 3,Research&Development,Science&Engineering,Scientist,Research&Development
MANAGER 230000 - 244999.99,Project-Program Director 5,Manager,Proj-Prog Management,Project-Program Director,Proj-Prog Management
,Contractor,,,,
SCI / ENG 170000 - 184999.99,Scientist 3,Research&Development,Science&Engineering,Scientist,Research&Development
SCI / ENG 170000 - 184999.99,Scientist 3,Research&Development,Science&Engineering,Scientist,Research&Development
"MANAGER 275,000 - 289,999",R&D Manager 6,Manager,Science&Engineering,R&D Manager,Research&Development
SCI / ENG 200000 - 214999.99,Scientist 4,Research&Development,Science&Engineering,Scientist,Research&Development
,Contractor,,,,
,Contractor,,,,
PROFESSIONAL 110000 - 124999.99,IT Customer Support Specialist 4,Professional,Infrastructure,IT Customer Support Specialist,Information Technology
MANAGER 125000 - 139999.99,IT Manager 1,Manager,Infrastructure,IT Manager,Information Technology
PROFESSIONAL 95000 - 109999.99,IT Customer Support Specialist 3,Professional,Infrastructure,IT Customer Support Specialist,Information Technology
SCI / ENG 170000 - 184999.99,Scientist 3,Research&Development,Science&Engineering,Scientist,Research&Development
PROFESSIONAL 110000 - 124999.99,Project Manager 2,Professional,Project Management,Project Manager,Operations
"MANAGER 245,000 - 259,999",R&D Manager 5,Manager,Science&Engineering,R&D Manager,Research&Development
TECHNICIAN 110000 - 124999.99,Computing Systems Tec 5,Technician,Infrastructure,Computing Systems Tec,Information Technology
PROFESSIONAL 215000 - 229999.99,Program Manager 4,Professional,Proj-Prog Management,Program Manager,Proj-Prog Management
SCI / ENG 155000 - 169999.99,Scientist 3,Research&Development,Science&Engineering,Scientist,Research&Development
MANAGER 200000 - 214999.99,Project-Program Director 4,Manager,Proj-Prog Management,Project-Program Director,Proj-Prog Management
SCI / ENG 125000 - 139999.99,Scientist 2,Research&Development,Science&Engineering,Scientist,Research&Development
SCI / ENG 170000 - 184999.99,Scientist 3,Research&Development,Science&Engineering,Scientist,Research&Development
SCI / ENG 215000 - 229999.99,Scientist 4,Research&Development,Science&Engineering,Scientist,Research&Development
SCI / ENG 200000 - 214999.99,Scientist 4,Research&Development,Science&Engineering,Scientist,Research&Development
SUPPORT 65000 - 79999.99,Administrative Assistant 4,Support,Administrative Support,Administrative Assistant,Administration
TECHNICIAN 95000 - 109999.99,Computing Systems Tec 5,Technician,Infrastructure,Computing Systems Tec,Information Technology
SCI / ENG 230000 - 244999.99,Scientist 5,Research&Development,Science&Engineering,Scientist,Research&Development
,Guest Scientist,,,,
SCI / ENG 140000 - 154999.99,Scientist 2,Research&Development,Science&Engineering,Scientist,Research&Development
TECHNICIAN 95000 - 109999.99,Computing Systems Tec 4,Technician,Infrastructure,Computing Systems Tec,Information Technology
,Contractor,,,,
SCI / ENG 155000 - 169999.99,Scientist 3,Research&Development,Science&Engineering,Scientist,Research&Development
MANAGER 200000 - 214999.99,R&D Manager 4,Manager,Science&Engineering,R&D Manager,Research&Development
PROFESSIONAL 140000 - 154999.99,HPC Data Center Specialist 4,Professional,Facility,HPC Data Center Specialist,Operations
MANAGER 215000 - 229999.99,R&D Manager 4,Manager,Science&Engineering,R&D Manager,Research&Development
PROFESSIONAL 155000 - 169999.99,Technical Project Manager 3,Professional,Proj-Prog Management,Technical Project Manager,Proj-Prog Management
SCI / ENG 155000 - 169999.99,Scientist 3,Research&Development,Science&Engineering,Scientist,Research&Development
SCI / ENG 185000 - 199999.99,Scientist 3,Research&Development,Science&Engineering,Scientist,Research&Development
SCI / ENG 215000 - 229999.99,R&D Casual,Research&Development,Unassigned,R&D Casual,Unassigned
SCI / ENG 140000 - 154999.99,Scientist 2,Research&Development,Science&Engineering,Scientist,Research&Development
SCI / ENG 170000 - 184999.99,Scientist 3,Research&Development,Science&Engineering,Scientist,Research&Development
,Guest Scientist,,,,
TECHNICIAN 80000 - 94999.99,Computing Systems Tec 4,Technician,Infrastructure,Computing Systems Tec,Information Technology
SCI / ENG 140000 - 154999.99,Scientist 2,Research&Development,Science&Engineering,Scientist,Research&Development
MANAGER 200000 - 214999.99,R&D Manager 4,Manager,Science&Engineering,R&D Manager,Research&Development
PROFESSIONAL 125000 - 139999.99,HPC Data Center Specialist 3,Professional,Facility,HPC Data Center Specialist,Operations
,Visitor,,,,
TECHNICIAN 80000 - 94999.99,Computing Systems Tec 4,Technician,Infrastructure,Computing Systems Tec,Information Technology
PROFESSIONAL 125000 - 139999.99,HPC Data Center Specialist 3,Professional,Facility,HPC Data Center Specialist,Operations
SCI / ENG 230000 - 244999.99,Scientist 5,Research&Development,Science&Engineering,Scientist,Research&Development
TECHNICIAN 80000 - 94999.99,Computing Systems Tec 4,Technician,Infrastructure,Computing Systems Tec,Information Technology
MANAGER 200000 - 214999.99,R&D Manager 4,Manager,Science&Engineering,R&D Manager,Research&Development
PROFESSIONAL 95000 - 109999.99,Professional Staff Assistant 2,Professional,Administrative Support,Professional Staff Assistant,Administration
MANAGER 200000 - 214999.99,R&D Manager 4,Manager,Science&Engineering,R&D Manager,Research&Development
,Contractor,,,,
MANAGER 125000 - 139999.99,Staff Operations Manager 3,Manager,Administrative Support,Staff Operations Manager,Administration
PROFESSIONAL 155000 - 169999.99,Technical Project Manager 3,Professional,Proj-Prog Management,Technical Project Manager,Proj-Prog Management
,Contractor,,,,
SCI / ENG 140000 - 154999.99,Scientist 2,Research&Development,Science&Engineering,Scientist,Research&Development
TECHNICIAN 80000 - 94999.99,Computing Systems Tec 4,Technician,Infrastructure,Computing Systems Tec,Information Technology
SCI / ENG 170000 - 184999.99,Scientist 3,Research&Development,Science&Engineering,Scientist,Research&Development
SCI / ENG 185000 - 199999.99,Scientist 4,Research&Development,Science&Engineering,Scientist,Research&Development
SCI / ENG 125000 - 139999.99,Scientist 2,Research&Development,Science&Engineering,Scientist,Research&Development
MANAGER 185000 - 199999.99,R&D Manager 3,Manager,Science&Engineering,R&D Manager,Research&Development
SCI / ENG 170000 - 184999.99,Scientist 3,Research&Development,Science&Engineering,Scientist,Research&Development
,Guest Scientist,,,,
SCI / ENG 170000 - 184999.99,Scientist 3,Research&Development,Science&Engineering,Scientist,Research&Development
SCI / ENG 125000 - 139999.99,Scientist 2,Research&Development,Science&Engineering,Scientist,Research&Development
SCI / ENG 200000 - 214999.99,Scientist 4,Research&Development,Science&Engineering,Scientist,Research&Development
PROFESSIONAL 155000 - 169999.99,Technical Project Manager 3,Professional,Proj-Prog Management,Technical Project Manager,Proj-Prog Management
PROFESSIONAL 185000 - 199999.99,Technical Project Manager 4,Professional,Proj-Prog Management,Technical Project Manager,Proj-Prog Management
SCI / ENG 140000 - 154999.99,Scientist 3,Research&Development,Science&Engineering,Scientist,Research&Development
SCI / ENG 155000 - 169999.99,Scientist 3,Research&Development,Science&Engineering,Scientist,Research&Development
,Contractor,,,,
,Guest Scientist,,,,
SCI / ENG 140000 - 154999.99,Scientist 3,Research&Development,Science&Engineering,Scientist,Research&Development
SCI / ENG 185000 - 199999.99,Scientist 4,Research&Development,Science&Engineering,Scientist,Research&Development
PROFESSIONAL 140000 - 154999.99,HPC Data Center Specialist 4,Professional,Facility,HPC Data Center Specialist,Operations
SCI / ENG 140000 - 154999.99,Scientist 2,Research&Development,Science&Engineering,Scientist,Research&Development
,Contractor,,,,
SCI / ENG 185000 - 199999.99,Scientist 4,Research&Development,Science&Engineering,Scientist,Research&Development
,Contractor,,,,
,Contractor,,,,
,Contractor,,,,
TECHNICIAN 80000 - 94999.99,Computing Systems Tec 4,Technician,Infrastructure,Computing Systems Tec,Information Technology
PROFESSIONAL 110000 - 124999.99,HPC Data Center Specialist 3,Professional,Facility,HPC Data Center Specialist,Operations
SCI / ENG 185000 - 199999.99,Scientist 4,Research&Development,Science&Engineering,Scientist,Research&Development
SCI / ENG 170000 - 184999.99,Scientist 3,Research&Development,Science&Engineering,Scientist,Research&Development
,Contractor,,,,
SCI / ENG 125000 - 139999.99,Scientist 2,Research&Development,Science&Engineering,Scientist,Research&Development
,Guest Scientist,,,,
SCI / ENG 170000 - 184999.99,Scientist 3,Research&Development,Science&Engineering,Scientist,Research&Development
SCI / ENG 215000 - 229999.99,Scientist 4,Research&Development,Science&Engineering,Scientist,Research&Development
,Contractor,,,,
SCI / ENG 140000 - 154999.99,Scientist 2,Research&Development,Science&Engineering,Scientist,Research&Development
TECHNICIAN 80000 - 94999.99,Computing Systems Tec 4,Technician,Infrastructure,Computing Systems Tec,Information Technology
,Contractor,,,,
SCI / ENG 140000 - 154999.99,Scientist 3,Research&Development,Science&Engineering,Scientist,Research&Development
SCI / ENG 155000 - 169999.99,Scientist 3,Research&Development,Science&Engineering,Scientist,Research&Development
SCI / ENG 155000 - 169999.99,Scientist 3,Research&Development,Science&Engineering,Scientist,Research&Development
SCI / ENG 155000 - 169999.99,Scientist 3,Research&Development,Science&Engineering,Scientist,Research&Development
SCI / ENG 140000 - 154999.99,Scientist 3,Research&Development,Science&Engineering,Scientist,Research&Development
,Contractor,,,,
PROFESSIONAL 110000 - 124999.99,HPC Data Center Specialist 2,Professional,Facility,HPC Data Center Specialist,Operations
SCI / ENG 140000 - 154999.99,Scientist 3,Research&Development,Science&Engineering,Scientist,Research&Development
SUPPORT 65000 - 79999.99,Administrative Assistant 4,Support,Administrative Support,Administrative Assistant,Administration
,Guest Scientist,,,,
,Contractor,,,,
,Contractor,,,,
SCI / ENG 155000 - 169999.99,Scientist 3,Research&Development,Science&Engineering,Scientist,Research&Development
PROFESSIONAL 140000 - 154999.99,Cybersecurity Technical Staff 3,Professional,Infrastructure,Cybersecurity Technical Staff,Information Technology
,Contractor,,,,
,Guest Scientist,,,,
SCI / ENG 140000 - 154999.99,Scientist 3,Research&Development,Science&Engineering,Scientist,Research&Development
PROFESSIONAL 110000 - 124999.99,Vendor Liaison Specialist 3,Professional,Procurement,Vendor Liaison Specialist,Administration
