Contract Description,Start Date,End Date,Contract Owner,Vendor,Pct FOUS,Risk (0-5),Funded?,Cost,Total Cost,Notes
Syder Support Power Monitoring,2001-01-01,2001-01-01,Patrick Jackson,,1,,Yes,50000,50000,Need to verify contract information
Preparing SCC for Crossroads Machine,2001-01-01,2001-01-01,Patrick Jackson,,1,,No,0,0,
SCC Substation Work  Load Shedding,2001-01-01,2001-01-01,Patrick Jackson,,1,,Yes,50000,50000,Support to projects on connecting systems
Computer Room Electical Work,2001-01-01,2001-01-01,Patrick Jackson,,1,,Yes,300000,300000,Electrical Whips  recepticals  connections to pumps and motors  VFD's  and electrical upgrades  etc...
Mechanical/Elecctrical Replacement Parts,2001-01-01,2001-01-01,,,1,,Yes,200000,200000,Cost of parts and Materials with a 6% increase from FY22
Replacment of Heat exchanger in chiller room,2001-01-01,2001-01-01,,,1,,Yes,398000,398000,
Contingency (corrective maintenance),2001-01-01,2001-01-01,,,1,,Yes,250000,250000,Corrective maintenance  Chilled water heat exchnagers  programming on the FMS  and additional work throughout 2327
Trane,2021-10-01,2022-09-30,,,1,,No,995271,0,Trane Mechnical units for Bldg. 03 2327 and Bldg 03 1498 (room 341  205  270)
Kunita Water Services,2018-12-31,2022-12-31,,,1,,No,25000,0,299525
Trane Controls,2001-01-01,2001-01-01,,,1,,No,50000,0,
Kinetic Improvement,2020-10-12,2022-10-18,,,1,,No,20000,0,
Pillar Power System,2018-02-01,2023-01-31,,,1,,No,145000,0,
Static Power Conversion,2020-10-01,2025-09-29,,,1,,No,72000,0,
Summit Scheider Electic,2019-03-17,2022-03-16,,,1,,No,31697.33,0,
Summit Scheider Electic,2021-09-30,2025-09-29,,,1,,No,79384,0,
rebuilds on chiller CWR 3 and 4,2001-01-01,2001-01-01,,,1,,No,540000,0,These funsd should be account for in the CFCF work package
Contract Escorting support,2001-01-01,2001-01-01,,,1,,No,500000,0,Escort support for Maintenance  projects  and other KPI and should be account for in the CFCF workpackage
Elevator contract,2001-01-01,2001-01-01,,,1,,No,0,0,vendor to maintain and service all elevators both passager and frieght and maintain all systems up to full code compliance
Door Contract,2001-01-01,2001-01-01,,,1,,No,0,0,All doors to include dock  frieght  entry  emergency exit
